Player Name,Initial Stack,Credit?,$ Received,Balance,Credit,Ending Stack,P/L Player,Send Out,$ Sent,Tips,Done?,Tips %,,Total Tips:,Confirm Data,Starting Sum,End Sum,Should Equal,
IdleSicko,$400.00,Yes,,Good,$400,$494.00,$94.00,$94.00,$0.00,$0.00,Yes,0.00%,,$320.00,,22136,22136,,
icee,$300.00,Yes,,Good,$300,$0.00,-$300.00,-$300.00,$0.00,$0.00,Yes,0.00%,,,People Leave ->,1110,23246,total after bs,
blob,$700.00,Yes,,Good,$700,$518.00,-$182.00,-$182.00,$0.00,$0.00,Yes,0.00%,,,,P/L Sum,Sent/Tips Sum,Game Profit,Tips % of Profit
solstice,$400.00,Yes,,Good,$400,$226.00,-$174.00,-$174.00,$0.00,$0.00,Yes,0.00%,,,should be 0 at end:,$0.00,"$10,716.00",7612,4.20%
choctawbingo,$200.00,No,$200.00,Good,$0,$0.00,-$200.00,$0.00,$0.00,$0.00,Yes,0.00%,,,,,,,
bigG,$200.00,Yes,,Good,$200,$0.00,-$200.00,-$200.00,$0.00,$0.00,Yes,0.00%,,,,Credit Sum,Receive Sum,In-Game,
fliptard,$200.00,Yes,,Good,$200,$342.00,$142.00,$142.00,$137.00,$5.00,Yes,3.52%,,,,"$17,160","$5,176.00",$0.00,
alo,$400.00,No,$400.00,Good,$0,$425.00,$25.00,$425.00,$423.00,$2.00,Yes,8.00%,,,,,,,
deezadams,$750.00,Yes,,Good,$750,$593.00,-$157.00,-$157.00,$0.00,$0.00,Yes,0.00%,,Pokernow Link:,icee 290,,,,
fonz,$200.00,No,$200.00,Good,$0,$650.00,$450.00,$650.00,$625.00,$25.00,Yes,5.56%,,,kimchi 800,,jochef 550,,
munch,$200.00,Yes,,Good,$200,$0.00,-$200.00,-$200.00,$0.00,$0.00,Yes,0.00%,,,210 aries,,,,
likwid,$500.00,Yes,,Good,$500,$441.00,-$59.00,-$59.00,$0.00,$0.00,Yes,0.00%,,,,,,,
rmikol,$425.00,Yes,,Good,$425,$98.00,-$327.00,-$327.00,$0.00,$0.00,Yes,0.00%,,WL:,,,,,
amy,$200.00,No,$200.00,Good,$0,$0.00,-$200.00,$0.00,$0.00,$0.00,Yes,0.00%,,,,,,,
wonton,$200.00,No,$200.00,Good,$0,$276.00,$76.00,$276.00,$273.00,$3.00,Yes,3.95%,,,,,,,
unhinged,$380.00,No,$380.00,Good,$0,$679.00,$299.00,$679.00,$670.00,$9.00,Yes,3.01%,,,,,,,
reggitshark,$200.00,Yes,,Good,$200,$544.00,$344.00,$344.00,$325.00,$19.00,Yes,5.52%,,,,,,,
mej,$300.00,No,$300.00,Good,$0,$393.00,$93.00,$393.00,$390.00,$3.00,Yes,3.23%,,,,,,,
ker,$300.00,Yes,,Good,$300,$849.00,$549.00,$549.00,$520.00,$29.00,Yes,5.28%,,,,,,,
annoyed,$400.00,Yes,,Good,$400,$579.00,$179.00,$179.00,$169.00,$10.00,Yes,5.59%,,,,,,,
jan,$400.00,Yes,,Good,$400,$657.00,$257.00,$257.00,$249.00,$8.00,No,3.11%,,,,,,,
prodigy,$400.00,No,$400.00,Good,$0,$438.00,$38.00,$438.00,$436.00,$2.00,Yes,5.26%,,,,,,,
hypnotic,$200.00,No,$200.00,Good,$0,$0.00,-$200.00,$0.00,$0.00,$0.00,Yes,0.00%,,,,,,,
mike,$200.00,Yes,,Good,$200,$0.00,-$200.00,-$200.00,$0.00,$0.00,Yes,0.00%,,,,,,,
hideo,$150.00,No,$150.00,Good,$0,$0.00,-$150.00,$0.00,$0.00,$0.00,Yes,0.00%,,,,,,,
joe,"$1,000.00",Yes,,Good,"$1,000",$764.00,-$236.00,-$236.00,$0.00,$0.00,Yes,0.00%,,,,,,,
larzybarz,$200.00,Yes,,Good,$200,$328.00,$128.00,$128.00,$122.00,$6.00,Yes,4.69%,,,,,,,
kimchi,$800.00,Yes,,Good,$800,$0.00,-$800.00,-$800.00,$0.00,$0.00,Yes,0.00%,,,,,,,
kobeducks,$200.00,No,$200.00,Good,$0,$0.00,-$200.00,$0.00,$0.00,$0.00,Yes,0.00%,,,,,,,
hallo,"$2,000.00",Yes,,Good,"$2,000","$1,666.00",-$334.00,-$334.00,$0.00,$0.00,Yes,0.00%,,,,,,,
TG,$281.00,No,$281.00,Good,$0,$891.00,$610.00,$891.00,$877.00,$14.00,Yes,2.30%,,440,250 sent,,,,
dierdre,$300.00,Yes,,Good,$300,$268.00,-$32.00,-$32.00,$0.00,$0.00,Yes,0.00%,,,,,,,
wontonsoup,$510.00,Yes,,Good,$510,$0.00,-$510.00,-$510.00,$0.00,$0.00,Yes,0.00%,,,,,,,
hide,$250.00,Yes,,Good,$250,$360.00,$110.00,$110.00,$105.00,$5.00,Yes,4.55%,,,,,,,
viv,$450.00,Yes,,Good,$450,$527.00,$77.00,$77.00,$0.00,$0.00,Yes,0.00%,,,,,,,
jochef,$300.00,Yes,,Good,$300,$883.00,$583.00,$583.00,$550.00,$33.00,Yes,5.66%,,,,,,,
notj,"$1,000.00",Yes,,Good,"$1,000",$524.00,-$476.00,-$476.00,$0.00,-$1.00,Yes,0.00%,,,,,,,
aarush,$250.00,No,$250.00,Good,$0,$0.00,-$250.00,$0.00,$0.00,$0.00,Yes,0.00%,,tg 250,,,,,
eebn,$400.00,Yes,,Good,$400,$621.00,$221.00,$221.00,$212.00,$9.00,Yes,4.07%,,,,,,,
unhinged2,$390.00,No,$390.00,Good,$0,$778.00,$388.00,$778.00,$766.00,$12.00,Yes,3.09%,,,,,,,
egrabb,$225.00,Yes,,Good,$225,$0.00,-$225.00,-$225.00,$0.00,$0.00,Yes,0.00%,,,,,,,
luckym,$500.00,No,$500.00,Good,$0,$761.00,$261.00,$761.00,$750.00,$11.00,Yes,4.21%,,,,,,,
kevinstacks,$225.00,No,$225.00,Good,$0,$994.00,$769.00,$994.00,$964.00,$30.00,Yes,3.90%,,,,,,,
sardge,$400.00,Yes,,Good,$400,"$1,304.00",$904.00,$904.00,$858.00,$46.00,Yes,5.09%,,,,,,,
civil,$400.00,Yes,$200.00,Good,$400,$161.00,-$239.00,-$239.00,$0.00,$0.00,Yes,0.00%,,,,,,,
shep,$250.00,Yes,,Good,$250,$98.00,-$152.00,-$152.00,$0.00,$0.00,Yes,0.00%,,,,,,,
ac,$300.00,Yes,,Good,$300,$367.00,$67.00,$67.00,$63.00,$4.00,Yes,5.97%,,,,,,,
blob2,$800.00,Yes,,Good,$800,$0.00,-$800.00,-$800.00,$0.00,$0.00,Yes,0.00%,,,,,,,
yor,$750.00,Yes,,Good,$750,"$1,158.00",$408.00,$408.00,$394.00,$14.00,Yes,3.43%,,,,,,,
egrabb2,$300.00,Yes,,Good,$300,$821.00,$521.00,$521.00,$500.00,$21.00,Yes,4.03%,,,,,,,
yk,$200.00,Yes,,Good,$200,$0.00,-$200.00,-$200.00,$0.00,$0.00,Yes,0.00%,,,,,,,
prof lev,$500.00,No,$500.00,Good,$0,$0.00,-$500.00,$0.00,$0.00,$0.00,Yes,0.00%,,,,,,,
Chen,$400.00,Yes,,Good,$400,$419.00,$19.00,$19.00,$18.00,$1.00,Yes,5.26%,,,,,,,
ttt,$350.00,Yes,,Good,$350,$241.00,-$109.00,-$109.00,$0.00,$0.00,Yes,0.00%,,,,,,,
