Player Name,Initial Stack,Credit?,$ Received,Balance,Credit,Ending Stack,P/L Player,Send Out,$ Sent,Tips,Done?,Tips %,Status,Notes,Total Tips:,Confirm Data,Starting Sum,End Sum,Should Equal,
Aaron,$100.00,Yes,,Good,$100,$186.76,$86.76,$86.76,$80.00,$6.76,Yes,7.79%,Complete,,$141.09,,5325,5325,,
Frankie (FD),$500.00,Yes,,Good,$500,$632.62,$132.62,$132.62,$122.00,$10.62,Yes,8.01%,Complete,,,People Leave ->,0,5325,total after bs,
loganblaine (logan),$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,Yes,0.00%,Complete,someone,,,P/L Sum,Sent/Tips Sum,Game Profit,Tips % of Profit
Abe ,$100.00,Yes,,Good,$100,$127.29,$27.29,$27.29,$26.47,$0.82,Yes,3.00%,Complete,,,should be 0 at end:,$0.00,"$2,656.42",1934.03,7.30%
dangdaniel2.0,$50.00,Yes,,Good,$50,$281.23,$231.23,$231.23,$215.00,$16.23,Yes,7.02%,Complete,,,,,,,
donuttaker (donny),$50.00,Yes,,Good,$50,$0.00,-$50.00,-$50.00,$0.00,$0.00,Yes,0.00%,Complete,,,,Credit Sum,Receive Sum,In-Game,
kevinatekfc,$200.00,No,$200.00,Good,$0,$445.69,$245.69,$445.69,$435.00,$10.69,No,4.35%,In Progress,me,,,"$4,175","$1,150.00",$0.00,
pkqu123 (pkqu),$200.00,No,$200.00,Good,$0,$0.00,-$200.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,"sent me 197, owes me 3",,,,,,
bigvic1 (vic),$200.00,Yes,,Good,$200,$73.20,-$126.80,-$126.80,$0.00,$0.20,Yes,0.16%,Complete,,Pokernow Link:,https://www.pokernow.club/games/pgl-PAnxGENsDUIpBASXvaWVr,,,,
Waffles,$200.00,Yes,,Good,$200,$237.48,$37.48,$37.48,$35.00,$2.48,Yes,6.62%,Complete,,,,,,,
soggy waffles ,$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
PeanutJr,$50.00,Yes,,Good,$50,$46.00,-$4.00,-$4.00,$0.00,$0.00,Yes,0.00%,Complete,,,,,,,
sarmgoblin,$50.00,No,$50.00,Good,$0,$214.28,$164.28,$214.28,$206.00,$8.28,No,5.04%,In Progress,me,WL:,,,,,
hair (sh),$50.00,Yes,,Good,$50,$35.88,-$14.12,-$14.12,$0.00,$0.00,Yes,0.00%,Complete,,,,,,,
CSizzle (siz),$100.00,Yes,,Good,$100,$205.12,$105.12,$105.12,$100.00,$5.12,Yes,4.87%,Complete,,,,,,,
freshflufybun,$50.00,No,$50.00,Good,$0,$0.00,-$50.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,me,,,,,,
sam (saam),$75.00,Yes,,Good,$75,$123.04,$48.04,$48.04,$45.00,$3.04,Yes,6.33%,Complete,,,,,,,
ham (barce),$50.00,No,$50.00,Good,$0,$181.96,$131.96,$181.96,$170.00,$11.96,Yes,9.06%,Complete,,,,,,,
steve (stevewithN),$50.00,Yes,,Good,$50,$100.44,$50.44,$50.44,$40.00,$10.44,Yes,20.70%,Complete,,,,,,,
raaghuvious,$100.00,No,$100.00,Good,$0,$0.00,-$100.00,$0.00,$0.00,$5.00,Yes,5.00%,Complete,someone,,,,,,
seanyao (sean),$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,Yes,0.00%,Complete,,,,,,,
zediic,$50.00,Yes,,Good,$50,$0.00,-$50.00,-$50.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
divan ,$75.00,Yes,,Good,$75,$0.00,-$75.00,-$75.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
myroleandrew (stackdaddy),$75.00,No,$75.00,Good,$0,$112.07,$37.07,$112.07,$110.00,$2.07,No,5.58%,In Progress,someone,,,,,,
arnav (thearnav),$50.00,No,$50.00,Good,$0,$70.86,$20.86,$70.86,$70.86,$0.00,Yes,0.00%,Complete,someone,,,,,,
MrLukahn ,$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
jackbusta (flameseed),$75.00,No,$75.00,Good,$0,$0.00,-$75.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,"me, someone",,,,,,
devarno,$75.00,Yes,,Good,$75,$125.16,$50.16,$50.16,$48.00,$2.16,Yes,4.31%,Complete,,,,,,,
Jmoney,$225.00,Yes,,Good,$225,$147.77,-$77.23,-$77.23,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
bj1527 (Yanited),$375.00,Yes,,Good,$375,$115.70,-$259.30,-$259.30,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
bong,$200.00,Yes,,Good,$200,$201.73,$1.73,$1.73,$0.00,$1.73,Yes,100.00%,Complete,,,,,,,
wonealbrax (BRAXXX),$150.00,No,$150.00,Good,$0,$224.38,$74.38,$224.38,$215.00,$9.38,No,12.61%,In Progress,someone,,,,,,
recahl,$100.00,Yes,,Good,$100,$175.79,$75.79,$75.79,$70.00,$5.79,Yes,7.64%,Complete,,,,,,,
MonkeyMan447 (Monkey),$50.00,Yes,,Good,$50,$94.34,$44.34,$44.34,$40.00,$4.34,Yes,9.79%,Complete,,,,,,,
wifahat (wifa),$170.00,Yes,,Good,$170,$67.42,-$102.58,-$102.58,$0.00,$0.00,Yes,0.00%,Complete,,,,,,,
expert_diamond77 (ED77),$100.00,Yes,,Good,$100,$105.94,$5.94,$5.94,$0.00,$5.94,Yes,100.00%,Complete,,,,,,,
vik,$150.00,Yes,,Good,$150,$157.81,$7.81,$7.81,$0.00,$0.00,Yes,0.00%,Complete,,,,,,,
drypigs (wet),$150.00,No,$150.00,Good,$0,$248.43,$98.43,$248.43,$245.00,$3.43,No,3.48%,In Progress,someone,,,,,,
catlib (cat),$50.00,Yes,,Good,$50,$0.00,-$50.00,-$50.00,$0.00,$0.00,Yes,0.00%,Complete,,,,,,,
nub5000,$150.00,Yes,,Good,$150,$0.00,-$150.00,-$150.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
yunggarth (garth),$150.00,Yes,,Good,$150,$292.84,$142.84,$142.84,$134.00,$8.84,No,6.19%,In Progress,,,,,,,
Ansh M (anshmor),$180.00,Yes,,Good,$180,$293.77,$113.77,$113.77,$108.00,$5.77,No,5.07%,In Progress,,,,,,,
lax ,$50.00,Yes,,Good,$50,$0.00,-$50.00,-$50.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
funshanay,$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
