Player Name,Initial Stack,Credit?,$ Received,Balance,Credit,Ending Stack,P/L Player,Send Out,$ Sent,Tips,Done?,Tips %,Status,Notes,Total Tips:,Confirm Data,Starting Sum,End Sum,Should Equal,
Divan,$50.00,Yes,,Good,$50,$0.00,-$50.00,-$50.00,$0.00,$0.00,No,0.00%,In Progress,,$115.82,,4976.13,4977.88,,
stevewithN (steve),$150.00,Yes,,Good,$150,$178.97,$28.97,$28.97,$20.00,$8.97,No,30.96%,In Progress,,,People Leave ->,0,4976.13,total after bs,
demet,$50.00,Yes,,Good,$50,$0.00,-$50.00,-$50.00,$0.00,$0.00,No,0.00%,In Progress,,,,P/L Sum,Sent/Tips Sum,Game Profit,Tips % of Profit
donuttaker (donny),$50.00,Yes,,Good,$50,$109.91,$59.91,$59.91,$55.00,$4.91,Yes,8.20%,Complete,,,should be 0 at end:,$1.75,"$1,790.17",1579.68,7.33%
sb,$50.00,Yes,,Good,$50,$77.74,$27.74,$27.74,$25.00,$2.74,No,9.88%,In Progress,,,,,,,
AR3935,$50.00,No,$50.00,Good,$0,$0.00,-$50.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,me,,,Credit Sum,Receive Sum,In-Game,
drypigs (wet),$150.00,Yes,,Good,$150,$300.40,$150.40,$150.40,$145.00,$5.40,No,3.59%,In Progress,,,,"$4,145",$831.13,-$1.75,
swiftie (casinoF),$150.00,Yes,,Good,$150,$309.89,$159.89,$159.89,$148.00,$11.89,No,7.44%,In Progress,,,,,,,
asaltypepper,$50.00,Yes,,Good,$50,$132.17,$82.17,$82.17,$78.00,$4.17,No,5.07%,In Progress,,Pokernow Link:,https://www.pokernow.club/games/pgluZZMj_vPXTf4NylWlqd-VY,,,,
MrLukahn,$100.00,Yes,,Good,$100,$100.82,$0.82,$0.82,$0.00,$0.82,Yes,100.00%,Complete,,,,,,,
kevinatekfc,$350.00,No,$350.00,Good,$0,$359.61,$9.61,$359.61,$355.00,$4.61,No,47.97%,In Progress,,,,,,,
waffles,$150.00,Yes,,Good,$150,$386.59,$236.59,$236.59,$220.00,$16.59,No,7.01%,In Progress,,,,,,,
CSizzle (siz),$75.00,Yes,,Good,$75,$119.25,$44.25,$44.25,$41.00,$3.25,No,7.34%,In Progress,,WL:,,,,,
drew,$100.00,Yes,,Good,$100,$32.70,-$67.30,-$67.30,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
