Player Name,Initial Stack,Credit?,$ Received,Balance,Credit,Ending Stack,P/L Player,Send Out,$ Sent,Tips,Done?,Tips %,Status,Notes,Total Tips:,Confirm Data,Starting Sum,End Sum,Should Equal,
pkqu,$100.00,Yes,,Good,$100,$118.91,$18.91,$18.91,$17.00,$1.91,No,10.10%,In Progress,,$83.64,,5604.64,5604.64,,
Dougie,$150.00,Yes,,Good,$150,$169.21,$19.21,$19.21,$17.00,$2.21,Yes,11.50%,Complete,,,People Leave ->,0,5604.64,total after bs,
CSizzle (siz jr.),$575.00,Yes,,Good,$575,$518.02,-$56.98,-$56.98,$0.00,$0.00,No,0.00%,In Progress,,,,P/L Sum,Sent/Tips Sum,Game Profit,Tips % of Profit
Aaron (PeanutJrSoSexy),$100.00,Yes,,Good,$100,$97.78,-$2.22,-$2.22,$0.00,$0.00,Yes,0.00%,Complete,,,should be 0 at end:,$0.00,"$2,077.52",1882.75,4.44%
joel_dev (smoke bomb pot),$60.00,Yes,,Good,$60,$60.00,$0.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,,,,,,,
greenbean,$150.00,Yes,,Good,$150,$0.00,-$150.00,-$150.00,$0.00,$0.00,No,0.00%,In Progress,,,,Credit Sum,Receive Sum,In-Game,
MysteriousMelon (Melon),$100.00,Yes,,Good,$100,$291.46,$191.46,$191.46,$182.00,$9.46,No,4.94%,In Progress,,,,"$4,996",$608.50,$0.00,
sam ,$50.00,Yes,,Good,$50,$59.25,$9.25,$9.25,$8.00,$1.25,No,13.51%,In Progress,,,,,,,
jk0406,$100.00,Yes,,Good,$100,$197.33,$97.33,$97.33,$94.00,$3.33,No,3.42%,In Progress,,Pokernow Link:,,,,,
jonniboui,$50.00,Yes,,Good,$50,$0.00,-$50.00,-$50.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
william (bink),$75.00,Yes,,Good,$75,$129.43,$54.43,$54.43,$50.00,$4.43,No,8.14%,In Progress,,,,,,,
ddavidl (looney),$300.00,Yes,,Good,$300,$208.42,-$91.58,-$91.58,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
melontoucher,$0.01,Yes,,Good,$0,$0.01,$0.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,,WL:,,,,,
darkenedasian (rbd),$300.00,Yes,,Good,$300,$521.40,$221.40,$221.40,$200.00,$21.40,Yes,9.67%,Complete,,,,,,,
stevewithN (svn),$350.00,Yes,,Good,$350,$100.13,-$249.87,-$249.87,$0.00,$0.00,Yes,0.00%,Complete,,,,,,,
lisAA,$50.00,Yes,,Good,$50,$259.15,$209.15,$209.15,$190.00,$19.15,No,9.16%,In Progress,,,,,,,
top2not2 ,$70.00,No,$70.00,Good,$0,$0.00,-$70.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,someone,,,,,,
kevinatekfc,$75.00,Yes,,Good,$75,$65.36,-$9.64,-$9.64,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
BB ,$125.00,Yes,,Good,$125,$40.22,-$84.78,-$84.78,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
milku,$50.00,Yes,,Good,$50,$0.00,-$50.00,-$50.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
weoou (all in),$100.00,Yes,,Good,$100,$196.55,$96.55,$96.55,$96.55,$0.00,No,0.00%,In Progress,,,,,,,
arnav,$50.00,No,$50.00,Good,$0,$0.00,-$50.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,someone,,,,,,
isaac,$100.00,No,$100.00,Good,$0,$0.00,-$100.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,someone,,,,,,
hofwarriorstar (kepa),$38.50,No,$38.50,Good,$0,$0.00,-$38.50,$0.00,$0.00,$0.00,Yes,0.00%,Complete,T2,,,,,,
Jason_ParkingLot (JParkingLot),$50.00,Yes,,Good,$50,$104.06,$54.06,$54.06,$50.00,$4.06,No,7.51%,In Progress,,,,,,,
rabaaz,$50.00,Yes,,Good,$50,$124.89,$74.89,$74.89,$71.00,$3.89,No,5.19%,In Progress,,,,,,,
gdeng2424 (gabe),$75.00,Yes,,Good,$75,$120.50,$45.50,$45.50,$40.00,$5.50,No,12.09%,In Progress,,,,,,,
dangdaniel ,$150.00,Yes,,Good,$150,$165.55,$15.55,$15.55,$10.00,$5.55,No,35.69%,In Progress,,,,,,,
jkphil,$76.13,Yes,,Good,$76,$72.01,-$4.12,-$4.12,$0.00,$0.00,Yes,0.00%,Complete,,,,,,,
joonga,$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
asaltypepper,$75.00,Yes,,Good,$75,$81.41,$6.41,$6.41,$6.00,$0.00,No,0.00%,In Progress,,,,,,,
weoou (all in),$100.00,Yes,,Good,$100,$144.66,$44.66,$44.66,$34.45,$0.00,No,0.00%,In Progress,,,,,,,
hofwarriorstar (kepa),$50.00,No,$50.00,Good,$0,$143.50,$93.50,$143.50,$138.50,$0.00,Yes,0.00%,Complete,me,,,,,,
dangdaniel (dangdaniel52),$275.00,Yes,,Good,$275,$300.23,$25.23,$25.23,$25.00,$0.00,No,0.00%,In Progress,,,,,,,
Joning ,$50.00,Yes,,Good,$50,$0.00,-$50.00,-$50.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
Divan ,$200.00,Yes,,Good,$200,$75.06,-$124.94,-$124.94,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
TacticalBacon (BaconBoy),$50.00,Yes,,Good,$50,$0.00,-$50.00,-$50.00,$0.00,$0.00,No,0.00%,In Progress,scammed,,,,,,
Google,$100.00,Yes,,Good,$100,$179.91,$79.91,$79.91,$75.00,$0.00,No,0.00%,In Progress,,,,,,,
joel_dev (bomb pot plz),$60.00,Yes,,Good,$60,$61.50,$1.50,$1.50,$0.00,$1.50,Yes,0.00%,Complete,,,,,,,
zach,$75.00,Yes,,Good,$75,$0.00,-$75.00,-$75.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
derz (smurkio),$75.00,Yes,,Good,$75,$0.00,-$75.00,-$75.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
abyan (luckbox),$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
ddavidl (dray),$50.00,Yes,,Good,$50,$159.46,$109.46,$109.46,$108.58,$0.00,No,0.00%,In Progress,,,,,,,
seanyao,$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
stevewithN (steve),$100.00,Yes,,Good,$100,$354.70,$254.70,$254.70,$249.87,$0.00,Yes,0.00%,Complete,,,,,,,
nkim (mink),$50.00,Yes,,Good,$50,$0.00,-$50.00,-$50.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
flopper (raspberry),$100.00,No,$100.00,Good,$0,$191.89,$91.89,$191.89,$187.00,$0.00,No,0.00%,In Progress,,,,,,,
seanyao,$50.00,Yes,,Good,$50,$23.75,-$26.25,-$26.25,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
alx.yc (jockey),$100.00,No,$100.00,Good,$0,$0.00,-$100.00,$0.00,$0.00,$0.00,Yes,0.00%,In Progress,me,,,,,,
jkphil,$100.00,No,$100.00,Good,$0,$76.13,-$23.87,$76.13,$76.13,$0.00,Yes,0.00%,Complete,me,,,,,,
joonga ,$125.00,Yes,,Good,$125,$192.80,$67.80,$67.80,$67.80,$0.00,No,0.00%,In Progress,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
