Player Name,Initial Stack,Credit?,$ Received,Balance,Credit,Ending Stack,P/L Player,Send Out,$ Sent,Tips,Done?,Tips %,Status,Notes,Total Tips:,Confirm Data,Starting Sum,End Sum,Should Equal,
deezadams,$750.00,Yes,,Good,$750,$511.93,-$238.07,-$238.07,$0.00,$0.00,No,0.00%,In Progress,,$91.40,,7901.13,7902.88,,
recahl,$200.00,Yes,,Good,$200,$0.00,-$200.00,-$200.00,$0.00,$0.00,No,0.00%,In Progress,,,People Leave ->,0,7901.13,total after bs,
wifahat (wifa),$100.00,Yes,,Good,$100,$161.00,$61.00,$61.00,$61.00,$0.00,Yes,0.00%,Complete,,,,P/L Sum,Sent/Tips Sum,Game Profit,Tips % of Profit
ddavidl (detr),$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,No,0.00%,In Progress,,,should be 0 at end:,$1.75,"$2,644.95",2519.3,3.63%
donuttaker (donny),$50.00,Yes,,Good,$50,$132.54,$82.54,$82.54,$77.00,$5.54,No,6.71%,In Progress,,,,,,,
gene (john locke),$50.00,Yes,,Good,$50,$106.66,$56.66,$56.66,$53.00,$3.66,Yes,6.46%,Complete,,,,Credit Sum,Receive Sum,In-Game,
cris,$50.00,No,$50.00,Good,$0,$0.00,-$50.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,,,,"$7,020",$881.13,-$1.75,
drew,$100.00,Yes,,Good,$100,$82.44,-$17.56,-$17.56,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
Jmoney24,$300.00,Yes,,Good,$300,$116.51,-$183.49,-$183.49,$0.00,$0.00,No,0.00%,In Progress,,Pokernow Link:,,,,,
Frankie (FD),$500.00,Yes,,Good,$500,$763.41,$263.41,$263.41,$245.00,$18.41,No,6.99%,In Progress,,,,,,,
rabaaz ,$100.00,Yes,,Good,$100,$266.89,$166.89,$166.89,$157.00,$9.89,Yes,5.93%,Complete,,,,,,,
br1ann88 (Br1),$50.00,Yes,,Good,$50,$228.11,$178.11,$178.11,$169.20,$8.91,No,5.00%,In Progress,,,,,,,
vik,$100.00,Yes,,Good,$100,$109.95,$9.95,$9.95,$6.00,$3.95,No,39.70%,In Progress,,WL:,,,,,
ragather (rag),$50.00,Yes,,Good,$50,$0.00,-$50.00,-$50.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
bj1527 (yanited),$200.00,Yes,,Good,$200,$118.37,-$81.63,-$81.63,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
abyan (luckbox),$50.00,Yes,,Good,$50,$141.25,$91.25,$91.25,$86.00,$5.25,Yes,5.75%,Complete,,,,,,,
Zediic ,$75.00,Yes,,Good,$75,$75.20,$0.20,$0.20,$0.00,$0.00,Yes,0.00%,Complete,,,,,,,
dangdaniel,$50.00,Yes,,Good,$50,$79.61,$29.61,$29.61,$25.00,$4.61,No,15.57%,In Progress,,,,,,,
raj0904,$50.00,Yes,,Good,$50,$31.13,-$18.87,-$18.87,$0.00,$0.00,Yes,0.00%,Complete,,,,,,,
Divan,$50.00,Yes,,Good,$50,$0.00,-$50.00,-$50.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
stevewithN (steve),$150.00,Yes,,Good,$150,$178.97,$28.97,$28.97,$20.00,$0.14,No,3.12%,In Progress,,,,,,,
demet,$50.00,Yes,,Good,$50,$0.00,-$50.00,-$50.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
donuttaker (donny),$50.00,Yes,,Good,$50,$109.91,$59.91,$59.91,$55.00,$0.00,Yes,0.00%,Complete,,,,,,,
sb,$50.00,Yes,,Good,$50,$77.74,$27.74,$27.74,$25.00,$0.00,No,0.00%,In Progress,,,,,,,
AR3935,$50.00,No,$50.00,Good,$0,$0.00,-$50.00,$0.00,$0.00,$4.12,Yes,10.02%,Complete,me,,,,,,
drypigs (wet),$150.00,Yes,,Bad,$150,$300.40,$150.40,$150.40,$145.00,$0.00,No,0.00%,In Progress,,,,,,,
swiftie (casinoF),$150.00,Yes,,Good,$150,$309.89,$159.89,$159.89,$148.00,$0.00,No,0.00%,In Progress,,,,,,,
asaltypepper,$50.00,Yes,,Bad,$50,$132.17,$82.17,$82.17,$78.00,$0.00,No,0.00%,In Progress,,,,,,,
MrLukahn,$100.00,Yes,,Good,$100,$100.82,$0.82,$0.82,$0.00,$0.82,Yes,4.97%,Complete,,,,,,,
kevinatekfc,$350.00,No,$350.00,Good,$0,$359.61,$9.61,$359.61,$355.00,$0.00,No,0.00%,In Progress,,,,,,,
waffles,$150.00,Yes,,Good,$150,$386.59,$236.59,$236.59,$220.00,$11.08,No,5.01%,In Progress,,,,,,,
CSizzle (siz),$75.00,Yes,,Good,$75,$119.25,$44.25,$44.25,$41.00,$5.80,No,7.86%,In Progress,,,,,,,
drew,$100.00,Yes,,Good,$100,$32.70,-$67.30,-$67.30,$0.00,$5.65,No,10.34%,In Progress,,,,,,,
joel_dev (Bomb pot plz),$130.00,Yes,,Bad,$130,$113.91,-$16.09,-$16.09,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
deezadams,$900.00,Yes,,Good,$900,$637.66,-$262.34,-$262.34,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
wifahat (wifa),$100.00,Yes,,Good,$100,$180.50,$80.50,$80.50,$70.00,$0.00,Yes,0.00%,Complete,,,,,,,
devarno (devin),$75.00,Yes,,Good,$75,$90.12,$15.12,$15.12,$10.00,$3.57,No,19.22%,In Progress,,,,,,,
Jmoney24,$350.00,Yes,,Good,$350,$251.64,-$98.36,-$98.36,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
recahl,$100.00,Yes,,Good,$100,$237.76,$137.76,$137.76,$137.76,$0.00,No,0.00%,In Progress,,,,,,,
Joning,$100.00,Yes,,Bad,$100,$104.49,$4.49,$4.49,$4.35,$0.00,No,0.00%,In Progress,,,,,,,
wonealbrax (brax),$150.00,Yes,,Good,$150,$43.79,-$106.21,-$106.21,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
soggy waffles,$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
Expert_Diamon77 (ED77),$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
nikhilm1 (nik1),$50.00,Yes,,Good,$50,$91.12,$41.12,$41.12,$37.00,$0.00,Yes,0.00%,Complete,,,,,,,
raj0904,$81.13,No,$81.13,Good,$0,$0.00,-$81.13,$0.00,$0.00,$0.00,Yes,0.00%,Complete,paid 100 to cover T2,,,,,,
