From,To,Amount
Vish754 (BrokeMonk),patrick (pat),8.0
Vish754 (BrokeMonk),ImpaledBison,24.0
Vish754 (BrokeMonk),TG,25.0
Vish754 (BrokeMonk),yunggarth22 (garth),32.0
Vish754 (BrokeMonk),waffles (sabs),36.0
Vish754 (BrokeMonk),sahquilliis (shaq),38.0
Vish754 (BrokeMonk),pkqu123 (pkqu 2),55.0
Vish754 (BrokeMonk),catlib (cat) ,60.0
Vish754 (BrokeMonk),patrick (pat),22.0
Jon (water),patrick (pat),53.0
Jon (water),asaltypepper,93.0
Jon (water),Jason_Parkinglot (Jparkinglot),95.0
Jon (water),drew ,59.0
Lilpanda,drew ,42.0
Lilpanda,Demet,104.0
Lilpanda,drew ,26.74
StevewithN (steve),drew ,85.26
StevewithN (steve),Sir Punt ,64.74
asaltypepper,Sir Punt ,59.26
asaltypepper,seanc15 (sean),90.74
StevewithN (steve),seanc15 (sean),34.26
StevewithN (steve),kij ,115.74
GREENBEAN,kij ,10.26
GREENBEAN,ddavidl (ddd),139.74
seanyao (sean),ddavidl (ddd),1.84
seanyao (sean),nub5000 (nub) ,98.16
Reido,nub5000 (nub) ,100.0
PeanutJr,nub5000 (nub) ,26.84
PeanutJr,DirtyDan,73.16
BB,DirtyDan,75.0
Joonga ,DirtyDan,61.15
weoou,DirtyDan,15.69
weoou,Frankie (FD),36.19
andrewh,Frankie (FD),50.0
MrLukahn,Frankie (FD),50.0
Vik,Frankie (FD),41.96
nub5000 (nub) ,Frankie (FD),35.03
gene (john locke),Frankie (FD),16.82
gene (john locke),James,11.8
jh,James,26.79
Bank,James,227.61
Bank,jon (water),345.0
