From,To,Amount,Method
kimchi,Chen,18.0,Pay user 18.00 on Venmo
kimchi,ac,63.0,Pay user 63.00 on Venmo
kimchi,hide,105.0,Pay user 105.00 on Venmo
kimchi,larzybarz,122.0,Pay user 122.00 on Venmo
kimchi,fliptard,137.0,Pay user 137.00 on Venmo
kimchi,annoyed,169.0,Pay user 169.00 on Venmo
kimchi,eebn,186.0,Pay user 186.00 on Venmo
blob2,eebn,26.0,Pay user 26.00 on Venmo
blob2,jan,249.0,Pay user 249.00 on Venmo
blob2,wonton,273.0,Pay user 273.00 on Venmo
blob2,reggitshark,252.0,Pay user 252.00 on Venmo
wontonsoup,reggitshark,73.0,Pay user 73.00 on Venmo
wontonsoup,mej,390.0,Pay user 390.00 on Venmo
wontonsoup,yor,47.0,Pay user 47.00 on Venmo
notj,yor,347.0,Pay user 347.00 on Venmo
notj,alo,129.0,Pay user 129.00 on Venmo
hallo,alo,294.0,Pay user 294.00 on Venmo
hallo,prodigy,40.0,Pay user 40.00 on Venmo
rmikol,prodigy,327.0,Pay user 327.00 on Venmo
icee,prodigy,69.0,Pay user 69.00 on Venmo
icee,egrabb2,231.0,Pay user 231.00 on Venmo
civil,egrabb2,239.0,Pay user 239.00 on Venmo
joe,egrabb2,30.0,Pay user 30.00 on Venmo
joe,ker,206.0,Pay user 206.00 on Venmo
egrabb,ker,225.0,Pay user 225.00 on Venmo
bigG,ker,89.0,Pay user 89.00 on Venmo
bigG,jochef,111.0,Pay user 111.00 on Venmo
munch,jochef,200.0,Pay user 200.00 on Venmo
mike,jochef,200.0,Pay user 200.00 on Venmo
yk,jochef,39.0,Pay user 39.00 on Venmo
yk,fonz,161.0,Pay user 161.00 on Venmo
blob,fonz,182.0,Pay user 182.00 on Venmo
solstice,fonz,174.0,Pay user 174.00 on Venmo
deezadams,fonz,108.0,Pay user 108.00 on Venmo
deezadams,unhinged,49.0,Pay user 49.00 on Venmo
shep,unhinged,152.0,Pay user 152.00 on Venmo
ttt,unhinged,109.0,Pay user 109.00 on Venmo
likwid,unhinged,59.0,Pay user 59.00 on Venmo
dierdre,unhinged,32.0,Pay user 32.00 on Venmo
Bank,unhinged,269.0,Pay user 269.00 on Venmo
Bank,luckym,750.0,Pay user 750.00 on Venmo
Bank,unhinged2,766.0,Pay user 766.00 on Venmo
Bank,sardge,858.0,Pay user 858.00 on Venmo
Bank,TG,877.0,Pay user 877.00 on Venmo
Bank,kevinstacks,964.0,Pay user 964.00 on Venmo
